Order;Level;Code;Parent;Code;Main group;Description;Remark;General public services;Defence;Public order and safety;Economic affairs;Environmental protection;Housing and community amenities;Health;Recreation, culture and religion;Education;Social protection;
2235330;2;1600;1510;GF0904;Education;Tertiary education;;;;;;;;;;Tertiary education;;GF0904
2235333;2;1630;1510;GF0905;Education;Education not definable by level;;;;;;;;;;Education not definable by level;;GF0905
2235335;2;1650;1510;GF0906;Education;Subsidiary services to education;;;;;;;;;;Subsidiary services to education;;GF0906
2235337;2;1670;1510;GF0907;Education;R&D Education;;;;;;;;;;R&D Education;;GF0907
2235339;2;1690;1510;GF0908;Education;Education n.e.c.;;;;;;;;;;Education n.e.c.;;GF0908
2235342;2;1720;1710;GF1001;Social protection;Sickness and disability;;;;;;;;;;;Sickness and disability;GF1001
2235345;2;1750;1710;GF1002;Social protection;Old age;;;;;;;;;;;Old age;GF1002
2235347;2;1770;1710;GF1003;Social protection;Survivors;;;;;;;;;;;Survivors;GF1003
2235349;2;1790;1710;GF1004;Social protection;Family and children;;;;;;;;;;;Family and children;GF1004
2235351;2;1810;1710;GF1005;Social protection;Unemployment;;;;;;;;;;;Unemployment;GF1005
2235353;2;1830;1710;GF1006;Social protection;Housing;;;;;;;;;;;Housing;GF1006
2235355;2;1850;1710;GF1007;Social protection;Social exclusion n.e.c.;;;;;;;;;;;Social exclusion n.e.c.;GF1007
2235357;2;1870;1710;GF1008;Social protection;R&D Social protection;;;;;;;;;;;R&D Social protection;GF1008
2235359;2;1890;1710;GF1009;Social protection;Social protection n.e.c.;;;;;;;;;;;Social protection n.e.c.;GF1009
